,0
29,"[4/24/20, 3:23:52 PM] Joe: Cause talking to strangers*
"
30,"[4/24/20, 3:37:06 PM] Joe: Hahaha alright maybe I’ll put the weed away but you’ll have to try harder to scare me off 🥱
"
31,"[4/24/20, 3:47:28 PM] Joe: I buy from my family so they can’t catch me haha 🚔
"
32,"[4/24/20, 3:47:57 PM] Joe: I’ll try my best to stay out of jail. I’ve done pretty good at that so far haha
"
33,"[4/24/20, 4:07:34 PM] Joe: 😂
"
34,"[4/24/20, 4:08:28 PM] Joe: I want to ask you, what do you usually like to do for fun? What keeps you entertained?
"
35,"[4/24/20, 4:30:22 PM] Joe: Nice nice. I like that you’re creative and that you love the outdoors so much. That’s really cool. Yoga is ok, I took a class once, it was a little harder than I though it would be but I was enjoying it by the end of the class.
"
36,"[4/24/20, 4:54:33 PM] Joe: Haha you look like you’re fun to hang out with. Always with a drink near by 🍹
"
37,"[4/24/20, 4:55:53 PM] Joe: Hahaha the dogs are posing so good 😂
"
38,"[4/24/20, 5:02:11 PM] Joe: Haha what!? Is that weird? I hope you know what I meant 😆
"
39,"[4/24/20, 5:05:53 PM] Joe: So many dogs! I love dogs but I don’t have any. I used to when I was growing up though.
"
40,"[4/24/20, 5:07:00 PM] Joe: 🤔 what would I say then?
"
41,"[4/24/20, 5:08:10 PM] Joe: I love the photos!
"
42,"[4/24/20, 5:15:18 PM] Joe: I would send you some photos too but everything I have is just videos of me skateboarding or pictures of nature hahaha
"
43,"‎[4/24/20, 5:22:51 PM] Joe: ‎video omitted
"
44,"‎[4/24/20, 5:24:45 PM] Joe: ‎video omitted
"
45,"‎[4/24/20, 5:25:32 PM] Joe: ‎image omitted
"
46,"‎[4/24/20, 5:28:30 PM] Joe: ‎image omitted
"
47,"‎[4/24/20, 5:30:06 PM] Joe: ‎image omitted
"
48,"[4/24/20, 5:33:26 PM] Joe: I shouldn’t have sent that last one  😆 I didn’t pick the piñata 🤷🏽‍♂️
"
49,"[4/24/20, 5:35:45 PM] Joe: Hahahahahah
"
50,"[4/24/20, 5:40:17 PM] Joe: I was working hard that day 😓 haha
"
51,"[4/24/20, 5:48:59 PM] Joe: Haha I’ll have to take more photos or videos just for you cause I don’t take them very often 😅 I’m camera shy
"
52,"[4/24/20, 5:49:34 PM] Joe: Or just all around shy now that I think about it lol
"
53,"[4/25/20, 12:44:13 AM] Joe: Buenos días!
"
54,"[4/25/20, 12:44:34 AM] Joe: Yeah I figured you fell asleep. It was getting late there haha
"
55,"[4/25/20, 12:48:26 AM] Joe: Hahah that’s funny. I don’t know why I’m like this 😅
"
56,"[4/25/20, 12:49:56 AM] Joe: How’s it looking over there today? Another beautiful day in quarantine?
"
57,"[4/25/20, 12:59:38 AM] Joe: Well it’s a good thing you’re the opposite! You’re very outgoing and you seem to know what you like, even if it’s on the other side of the world hahaha
"
58,"[4/25/20, 1:01:08 AM] Joe: Feel free to send video if you decide to dance 💃 😝
"
59,"[4/25/20, 1:10:16 AM] Joe: Hahahaha I would LOVE to see that someday!! 😂 😂 😂
"
60,"[4/25/20, 1:11:56 AM] Joe: As long as you’re having fun that’s all that matters. I would find it very cute to see you laughing and dancing. I like that energy haha
"
61,"[4/25/20, 1:25:31 AM] Joe: Hmmm I like to program on my computer, I spend a lot of time learning about companies/business because I like to buy stocks haha, I like carnivorous plants like the one in my story from yesterday, outdoor stuff like swimming or hiking.
"
62,"[4/25/20, 1:28:54 AM] Joe: I’m not the most exciting person I suppose 🤔 but hey, I am what I am 🤷‍♂️
"
63,"[4/25/20, 1:46:47 AM] Joe: But yeah my most favorite thing to do is skating with my friends. 
"
64,"[4/25/20, 1:49:13 AM] Joe: Haha ok good
"
65,"[4/25/20, 1:50:17 AM] Joe: Oh and I’m way at the end of that video haha. But it gives a vibe of what we’re like I think. It was so fun to make. We’re working on another one now.
"
66,"[4/25/20, 1:53:27 AM] Joe: Hahahahaha shit!
"
67,"[4/25/20, 1:59:24 AM] Joe: Hahah muchas gracias! I should not have sent you that video lmao hopefully there isn’t anything else embarrassing in there I don’t remember. I don’t think there is much though haha. It’s super long. And you’ll probably notice when my part starts they put my name as Hone. That’s what my friends called me.
"
68,"[4/25/20, 2:07:41 AM] Joe: Hahahaha 🐻
"
69,"[4/25/20, 2:09:03 AM] Joe: Here is more of us being stupid on the internet. Might as well let you find anything embarrassing of me that’s out there now hahahaha 
"
70,"[4/25/20, 2:19:23 AM] Joe: Hahaha! ☺️ thank you thank you. I think I’ve sent you all the video on the internet of me doing weird stuff. Glad to get that out of the way 🤣
"
71,"[4/25/20, 2:26:11 AM] Joe: Thanks, style is important to skaters so that’s good you can notice haha🕺
"
72,"[4/25/20, 2:48:22 AM] Joe: 😂 😂 😂 fuuuuck that is Vince hahaha thats my dude! He definitely makes things more exciting and fun. He just had his first kid recently though so he is taking it down a notch 😆
"
73,"[4/25/20, 3:10:11 AM] Joe: I think I’m going to try that mystery weed from the old hippies. Wish me luck haha
"
74,"[4/25/20, 3:12:41 AM] Joe: He’s 28. I definitely didn’t expect him to have a kid but he’s a cool dude and he’s doing a good job being a dad or whatever haha. His daughter is a super cool and happy little kid. I love to see that haha
"
75,"[4/25/20, 3:22:18 AM] Joe: Yeah kids are great. That’s one reason I really enjoy my job at the skatepark. We do those summer camps and working with the kids is really fun. They can be little jerks sometimes hahaha but for the most part kids I like children. How about you?
"
76,"[4/25/20, 3:29:34 AM] Joe: It’s true! Some of them seem like they just want to make you mad 😡 they think it’s hilarious or they want attention. Their games don’t work on me though, by the end of the week I usually have them on my side haha.
"
77,"‎[4/25/20, 3:36:16 AM] Joe: ‎GIF omitted
"
78,"[4/25/20, 3:36:37 AM] Joe: Their* place
"
79,"[4/25/20, 3:38:37 AM] Joe: Dude, I did have one kid last summer that was sooooo difficult though and I just couldn’t get him to do anything! The worst part was that he was at camp more weeks than any other kid! He really pushed my buttons hahaha that little mother fucker
"
80,"[4/25/20, 3:47:10 AM] Joe: Hahahaha it’s a saying. Like he got on my nerves or he annoyed me on purpose
"
81,"[4/25/20, 3:50:44 AM] Joe: Hahah shit
"
82,"[4/25/20, 3:53:06 AM] Joe: Hmmm that’s closer “don’t bust my balls”. Similar meaning though. “Don’t push my buttons”, I thought that was common haha
"
83,"[4/25/20, 4:01:14 AM] Joe: Exactly. Hopefully I don’t push your buttons though hahaha at least not yet
"
84,"‎[4/25/20, 4:02:05 AM] Joe: ‎GIF omitted
"
85,"[4/25/20, 4:02:27 AM] Joe: That gif is the children hahaha
"
86,"[4/25/20, 4:05:35 AM] Joe: Hahahah that’s ok, don’t be sorry 😂
"
87,"[4/25/20, 4:05:52 AM] Joe: Aaaahhhhh
"
88,"[4/25/20, 4:05:56 AM] Joe: Hahahaha
"
89,"[4/25/20, 4:06:06 AM] Joe: 🤭
"
90,"[4/25/20, 4:31:37 AM] Joe: Hahaha alright let me see...do you have a music app or I can send them from YouTube?
"
91,"[4/25/20, 4:34:19 AM] Joe: Hmm ok. What kind of mood do you want? 😆 
"
92,"[4/25/20, 4:39:02 AM] Joe: I like the music they play out here on the island 🌴 and mostly mellow stuff but I like a lot of different stuff. Depends on my mood haha
"
93,"[4/25/20, 4:39:22 AM] Joe: 🙈
"
94,"[4/25/20, 4:40:22 AM] Joe: J. Boog
"
95,"[4/25/20, 4:41:32 AM] Joe: Haha this is going to be my song for the next skate video https://youtu.be/itZe1pgsxag
"
96,"[4/25/20, 4:43:20 AM] Joe: https://youtu.be/-knXBsbZRJA
"
97,"[4/25/20, 4:44:21 AM] Joe: And it really depends on my mood because I could send you something super upbeat and danceable or some mopey sad boy shit Hahahaha. Please don’t judge me too much 🙏🏽 😊
"
98,"[4/25/20, 4:46:53 AM] Joe: Haha what??? Is that bad or good.
"
99,"[4/25/20, 4:49:28 AM] Joe: https://youtu.be/lmsbHGEB6UU
"
100,"[4/25/20, 4:54:03 AM] Joe: I think it’ll be coming out in February 2021 but I’ll make sure you get to see it somehow 😊
"
101,"[4/25/20, 4:55:31 AM] Joe: Haha ok ok I’ve embarrassed myself enough for one night. I’m getting tired and making bad decisions like sending you music 😂 😂
"
102,"[4/25/20, 4:55:49 AM] Joe: I’ll have to get some embarrassing stuff out of you sometime
"
103,"[4/25/20, 4:58:33 AM] Joe: Haha that’s a good idea. I try to play upbeat stuff when I’m working too
"
104,"[4/25/20, 5:02:35 AM] Joe: That’s good to know. I’m glad you got a few songs out of me that you like. 
"
105,"‎[4/25/20, 9:47:56 AM] Joe: ‎image omitted
"
106,"[4/25/20, 11:34:12 AM] Joe: Sorry, I had to go back to sleep for a little longer haha 😴 
"
107,"[4/25/20, 12:00:32 PM] Joe: Hahahaha not the most enjoyable way to wake up 😂 
"
108,"[4/25/20, 12:02:14 PM] Joe: His name is Oni and he is Ang’s cat. He loves to meow a little too much sometimes which can be annoying but he’s alright.
"
109,"[4/25/20, 12:02:44 PM] Joe: He is like me though. Only super affectionate if he is comfortable with you. He runs away from strangers haha
"
110,"[4/25/20, 12:32:52 PM] Joe: Damn that sounds rough. I wonder how long until there are zero restrictions? This whole thing is so weird.
"
111,"[4/25/20, 12:34:04 PM] Joe: Yeah dogs are the best. I want a dog again soon!
"
112,"[4/25/20, 12:35:39 PM] Joe: Hahahaha I guess that’s true. Good thing I don’t run away from strangers or I wouldn’t be talking to you ☺️
"
113,"[4/25/20, 12:44:49 PM] Joe: I like your attitude 🔥🔥
"
114,"[4/25/20, 12:46:53 PM] Joe: Yeah I’m waiting for the right time too. I need to settle in somewhere first. Wouldn’t be fair to the dog otherwise.
"
115,"[4/25/20, 12:48:03 PM] Joe: Hahaha oh noooo 🙈
"
116,"[4/25/20, 12:59:27 PM] Joe: Yeah I was impressed by the old people weed haha. Not bad! I always assume old people have bammer(bad weed)
"
117,"[4/25/20, 1:02:54 PM] Joe: I guess I prefer “chucho”(we call a dog without a breed “mutt”). 
"
118,"[4/25/20, 1:14:46 PM] Joe: I mean, they’re the way nature made them, and that’s fine with me. 
"
119,"[4/25/20, 1:27:36 PM] Joe: I feel similar about the business from dog breeding. I would never hold it against a dog for being a pure breed and would still love them but I couldn’t bring myself to seek out a pure bred dog when looking to get one if that means I’m helping those kind of businesses. 
"
120,"[4/25/20, 3:27:56 PM] Joe: 🤔 looks kind of flat. Is it a picture? Oh, or a book?
"
121,"[4/25/20, 3:28:18 PM] Joe: Hahaha I really don’t know. What is it?
"
122,"[4/25/20, 3:29:50 PM] Joe: A letter. Written with a feather pen like it’s the 1700s hahaha
"
123,"[4/25/20, 3:35:55 PM] Joe: 😂 I never would’ve guessed that!
"
124,"[4/25/20, 3:37:18 PM] Joe: Very cool though
"
125,"[4/25/20, 3:38:53 PM] Joe: Hahahah you’ll get it down I’m sure.
"
126,"[4/25/20, 3:45:25 PM] Joe: Damn that’s a good idea. I just go to my cousin and tell him the idea and we figure out hahaha
"
127,"[4/25/20, 3:46:01 PM] Joe: https://instagram.com/misterbouncer?igshid=1h4f5s7bmlbd
"
128,"[4/25/20, 3:49:46 PM] Joe: I have been wanting to get another one lately but I can’t think of what to get 🤔
"
129,"[4/25/20, 4:00:36 PM] Joe: Silly! But I don’t think it’s silly at all 🙃 that makes sense
"
130,"[4/25/20, 4:03:20 PM] Joe: I don’t really know exactly where I want the next one but I want one on my side wrapping around to the front a little, like the rib cage area I guess.  And more on my back would be nice. I take forever to think of something though
"
131,"[4/25/20, 4:03:42 PM] Joe: Oh maybe the forearm too
"
132,"[4/25/20, 4:07:36 PM] Joe: Hahaha
"
133,"[4/25/20, 4:08:04 PM] Joe: https://www.instagram.com/p/B2O2f2YFE38/?igshid=1cdv0qszheabt
"
134,"‎[4/25/20, 4:08:40 PM] Joe: ‎image omitted
"
135,"‎[4/25/20, 4:10:36 PM] Joe: ‎image omitted
"
136,"‎[4/25/20, 4:11:35 PM] Joe: ‎image omitted
"
137,"[4/25/20, 4:12:03 PM] Joe: Do you have tattoos? Send photos! Hahaha
"
138,"[4/25/20, 4:14:09 PM] Joe: 🤣 muchas gracias! At the end of the video of me getting the tattoo you can see us getting ready to play that dice game too hahaha. I love my friends 😆
"
139,"[4/25/20, 4:18:57 PM] Joe: Hahah infamous
"
140,"[4/25/20, 4:19:07 PM] Joe: ¿Y qué hay de tus tatuajes? ¿Qué tienes?
"
141,"[4/25/20, 4:29:36 PM] Joe: No worries! Plenty of time hahaha take some tomorrow or whenever you feel like it.
"
142,"[4/25/20, 4:29:54 PM] Joe: Oh there it is never mind haha
"
143,"[4/25/20, 4:30:52 PM] Joe: My friend used to love making these and would always try to get everyone to drink matte with him hahaha that’s a cool one
"
144,"[4/25/20, 4:31:15 PM] Joe: Very cute
"
145,"[4/25/20, 4:34:20 PM] Joe: Those are awesome and I love that they have meaning for you. 
"
146,"[4/25/20, 4:39:59 PM] Joe: Muy interesante 😂 
"
147,"[4/25/20, 4:40:41 PM] Joe: He has always lived in the US though
"
148,"[4/25/20, 4:48:23 PM] Joe: 😂 😂 😂
"
149,"[4/25/20, 4:51:01 PM] Joe: It was good. I drink my coffee black so I kind of like bitter drinks haha. 
"
150,"[4/25/20, 5:04:03 PM] Joe: His straw was aluminum hahaha. I guess he knew what he was doing all along 😂
"
151,"[4/25/20, 5:04:26 PM] Joe: Ok, sleep well. Talk to you later. Un beso
"
152,"[4/26/20, 8:55:49 AM] Joe: Aaaahh I’m awake 😓 I just can’t stay asleep haha
"
153,"[4/26/20, 9:06:44 AM] Joe: My new word is vergüenza because that’s what I feel every time I speak Spanish hahahah
"
154,"[4/26/20, 9:14:27 AM] Joe: Hahahaha shit
"
155,"[4/26/20, 9:15:06 AM] Joe: It sounds so nice when you say it. Alright alright I guess I’ll embarrass myself some more today. Why not? Haha
"
156,"‎[4/26/20, 9:17:04 AM] Joe: ‎audio omitted
"
157,"[4/26/20, 9:17:11 AM] Joe: Aaaaahhh so bad hahah
"
158,"[4/26/20, 9:23:22 AM] Joe: 🙈🙈🙈
"
159,"[4/26/20, 9:24:35 AM] Joe: As long as you can kind of understand what I’m saying, I’ll take that as a win haha
"
160,"[4/26/20, 9:29:07 AM] Joe: Aaaahhh haha I was too nervous when I started the recording 😂
"
161,"[4/26/20, 9:37:14 AM] Joe: Hahahaha
"
162,"[4/26/20, 9:39:27 AM] Joe: At least I’m getting practice. That’s good. I’ve practiced more this week than I have in years. I’m starting to pick it up. 
"
163,"[4/26/20, 9:54:41 AM] Joe: Well, I really appreciate the lessons professor 👩‍🏫
"
164,"[4/26/20, 11:00:42 AM] Joe: It’s was insane! My hands were sweating sometimes hahaha
"
165,"[4/26/20, 11:30:15 AM] Joe: Oh yeah I forgot about Rio. He is good too. 
"
166,"[4/26/20, 12:02:37 PM] Joe: I have a lot to watch before I catch up to you haha. Yeah, don’t spoil 🙉🙉
"
167,"[4/26/20, 12:20:51 PM] Joe: Ooooh I almost forgot, I need a message of you speaking english. 
"
168,"[4/26/20, 12:23:03 PM] Joe: Hahah it’s ok if you don’t want to. I understand. But I’m going to send a message of me saying it to you
"
169,"‎[4/26/20, 12:23:16 PM] Joe: ‎audio omitted
"
170,"[4/26/20, 12:23:39 PM] Joe: One more
"
171,"‎[4/26/20, 12:23:57 PM] Joe: ‎audio omitted
"
172,"‎[4/26/20, 12:25:14 PM] Joe: ‎GIF omitted
"
173,"[4/26/20, 12:25:30 PM] Joe: Congratulations! 🍾🎊🎈🎉
"
174,"[4/26/20, 12:26:58 PM] Joe: I love gifs hahaha but maybe I don’t use them as often as you 😂
"
175,"[4/26/20, 12:27:16 PM] Joe: You’re the gif master
"
176,"[4/26/20, 12:29:48 PM] Joe: Yes! Show me!
"
177,"[4/26/20, 12:30:13 PM] Joe: That’s sounds super complicated haha that’s so cool though
"
178,"[4/26/20, 12:41:22 PM] Joe: That’s siiiiick!! How long does it take to model stuff like that? 
"
179,"[4/26/20, 12:53:42 PM] Joe: Cooooool haha I’m definitely going to learn how to do that someday. Looks like you can make some interesting stuff if you get good. 
"
180,"[4/26/20, 12:54:21 PM] Joe: That makes sense. I’m the same when I’m learning something in programming
"
181,"[4/26/20, 1:04:03 PM] Joe: Nice. Definitely send more of your work to me if you need someone to show off to haha I’m very interested in it!
"
182,"[4/26/20, 1:08:57 PM] Joe: My stuff is boring hahah. The last thing I worked on was a website so I guess I can show you that. I only did a few parts of it though. The top section and “the team” section. 
"
183,"[4/26/20, 1:16:07 PM] Joe: No I don’t chose any design at all. I just build it to look like what the designer made.
"
184,"[4/26/20, 1:16:12 PM] Joe: Hahahaha
"
185,"[4/26/20, 1:17:42 PM] Joe: So if you need a website you can draw up what you want or make it using a program called Adobe XD and I can make it for you 👍
"
186,"[4/26/20, 1:18:03 PM] Joe: But don’t ask me to design anything cause I’m terrible at that part hahaha
"
187,"‎[4/26/20, 1:27:24 PM] Joe: ‎video omitted
"
188,"[4/26/20, 1:28:34 PM] Joe: Good team for sure! Definitely hit me up when you need one. I’d be stoked to build one for you!
"
189,"[4/26/20, 1:30:36 PM] Joe: Oh and I’d be even more stoked to see you 😂 😅☺️
"
190,"‎[4/26/20, 1:38:03 PM] Joe: ‎GIF omitted
"
191,"[4/26/20, 1:40:14 PM] Joe: That’s the plan! And yeah, there is a lot of code to make a website.
"
192,"[4/26/20, 1:42:44 PM] Joe: Hahaha oh nooooo 😱
"
193,"‎[4/26/20, 1:44:51 PM] Joe: ‎GIF omitted
"
194,"[4/26/20, 1:47:05 PM] Joe: I was just kidding
"
195,"[4/26/20, 1:47:12 PM] Joe: 🤗
"
196,"[4/26/20, 1:50:32 PM] Joe: I said that to make that simple webpage I need to open this program and its all just a bunch of words haha
"
197,"[4/26/20, 1:51:34 PM] Joe: I said too much in the video hahah. But basically it takes all the code I showed in the program to make the website I was showing
"
198,"[4/26/20, 2:01:25 PM] Joe: Send music to me!
"
199,"[4/26/20, 2:05:33 PM] Joe: It’s my turn to judge you haha👨‍⚖️
"
200,"[4/27/20, 10:14:12 AM] Joe: Buenas noches 🌙
"
201,"[4/27/20, 10:29:20 AM] Joe: Buenas tardes(?) haha
"
202,"[4/27/20, 10:39:49 AM] Joe: I feel it. Your lockdown sounds extreme. I’m good with not being around people and doing my own thing but it’s nice to mix it up. 
"
203,"[4/27/20, 10:41:04 AM] Joe: Whatever you like haha I’m not super picky with music and I probably won’t actually judge you so send anything 🤙
"
204,"[4/27/20, 10:52:56 AM] Joe: Damn that’s rough. I wonder when it goes back to normal completely
"
205,"[4/27/20, 10:53:22 AM] Joe: That sounds super chill. At least you have something to look forward to for now.
"
206,"[4/27/20, 11:07:51 AM] Joe: I like this one haha very cool
"
207,"[4/27/20, 11:10:56 AM] Joe: Pretty cool how everyone looks so “low key”(informal) in those last two
"
208,"[4/27/20, 11:11:28 AM] Joe: Haha good choice
"
209,"[4/27/20, 11:15:08 AM] Joe: That’s a good mix. I listen to a pretty wide variety of stuff too. Sometimes I’ll like a song I would usually never like just because it was in a skate video haha so that leads to me liking some weird shit sometimes.
"
210,"[4/27/20, 11:31:27 AM] Joe: Haha I’m not judging you. I like your music but even if I didn’t I wouldn’t judge you for it
"
211,"[4/27/20, 11:32:21 AM] Joe: Sure, I’ll keep you in mind when I hear new songs I like haha. The Hawaiian jams are so good. I love the vibe.
"
212,"[4/27/20, 11:44:08 AM] Joe: Today I’ve been lazy. I’m still sitting in bed with Oni 😂 
"
213,"[4/27/20, 11:50:16 AM] Joe: I’m about to get up and make some breakfast though then send some proposals for that next gig.
"
214,"[4/27/20, 11:57:22 AM] Joe: Hahahaha you don’t want to be like me! 😂 😂
"
215,"[4/27/20, 11:58:24 AM] Joe: Aw man he’s outside already. I’m in the kitchen about to make these pancakes 🥞 😂 
"
216,"[4/27/20, 12:08:53 PM] Joe: Hahaha I’m a fuckin mess right now but alright
"
217,"‎[4/27/20, 12:09:01 PM] Joe: ‎image omitted
"
218,"[4/27/20, 12:10:20 PM] Joe: I literally got out of bed and went to the kitchen so don’t judge my messy appearance too much please hahahah
"
219,"[4/27/20, 12:10:55 PM] Joe: And somehow I got pancake mix on my arm in that picture 😂
"
220,"[4/27/20, 12:18:02 PM] Joe: Breakfast foods might just be my favorite food so I could it pancakes whenever
"
221,"[4/27/20, 12:40:26 PM] Joe: Well it would’ve been some fruit but we’re all out 🙅‍♂️ 
"
222,"‎[4/27/20, 1:36:50 PM] Joe: ‎GIF omitted
"
223,"[4/27/20, 1:52:04 PM] Joe: Well what do you like to eat? Are you a vegetarian or something like that? 
"
224,"[4/27/20, 2:33:09 PM] Joe: Haha super cute 😆 definitely don’t have to be embarrassed about that hahaha
"
225,"[4/27/20, 2:34:45 PM] Joe: That is a long time to be dancing at home though hahaha. Must be good 🍃 😂
"
226,"[4/27/20, 2:42:42 PM] Joe: You should definitely send more videos of you dancing 💃 Especially in your pajama haha 
"
227,"[4/27/20, 2:49:45 PM] Joe: All good. A lot of the people around here walk around town with less clothes on than that hahaha your pjs are cute that’s all 🤷‍♂️
"
228,"[4/27/20, 3:01:39 PM] Joe: Hahahaha noooooo aaahhhh maybe later for the dancing video 🕺
"
229,"[4/27/20, 3:03:05 PM] Joe: Oh ok. How hot is it out there? 
"
230,"[4/27/20, 3:07:40 PM] Joe: Might as well have no shame when you’re asking me to embarrass myself haha. I owe you a video but I’m not promising when you’ll get it lol
"
231,"‎[4/27/20, 3:09:09 PM] Joe: ‎image omitted
"
232,"[4/27/20, 3:09:54 PM] Joe: Oh yeah. I feel like I haven’t put a shirt on in weeks hahaha 
"
233,"[4/27/20, 4:25:03 PM] Joe: Yeah I love being near the beach in this hot weather. It’s a life saver haha. 
"
234,"[4/27/20, 4:33:09 PM] Joe: Ooooh I’m so excited I might get my infamous dice game working today hahaha. It’s still super ugly cause like I said I’m terrible at design but if it works that’s all that matters to me. 
"
235,"[4/27/20, 4:47:19 PM] Joe: Yeah I just need to get one more thing working. The game needs to sign out users automatically when they close the game so I’m working on that. 
"
236,"[4/27/20, 4:47:41 PM] Joe: Your turn is over after you pick up all the dice
"
237,"‎[4/27/20, 4:54:23 PM] Joe: ‎video omitted
"
238,"[4/27/20, 4:58:39 PM] Joe: I’ll actually make it look nice and animate some dice if I get bored I guess but I didn’t see the need to impress my friends 😂
"
239,"[4/27/20, 5:01:35 PM] Joe: Exactly!
"
240,"[4/27/20, 5:05:10 PM] Joe: Hahah vintage. Yeah I’ll go with that description hahahaha
"
241,"‎[4/27/20, 5:10:01 PM] Joe: ‎video omitted
"
242,"[4/27/20, 5:12:26 PM] Joe: Dude give me all the design tips hahaha
"
243,"[4/27/20, 5:16:48 PM] Joe: Hahahahaha probably just a bunch of gibberish to you but I appreciate you being interested 😂
"
244,"[4/27/20, 5:18:14 PM] Joe: Haha so high!
"
245,"[4/27/20, 5:19:26 PM] Joe: yeaaaaah that’s the bug haha. I’ll send the link when it’s all the way working.
"
246,"[4/27/20, 5:22:15 PM] Joe: Hahahaha it’s broken! I know I know I’m sorry. I’ll get it working for real soon. At least you got to test it once. You can give me design tips and put web designer on your résumé 😂
"
247,"[4/27/20, 5:23:44 PM] Joe: Hahaha ok sounds good. We’ll definitely play together. I should make a chat feature next. It never ends 👨‍💻
"
248,"[4/27/20, 5:26:23 PM] Joe: Haha no worries I’m super stoked. I stopped working on the game for a few days cause I was frustrated I couldn’t get it working. Getting past this step was a big hurdle so I’m happy.
"
249,"[4/27/20, 5:27:25 PM] Joe: Hahaha I guess it could use more of a victory dance type of feel after the win
"
250,"[4/27/20, 5:28:20 PM] Joe: Sound would be interesting just because I’ve never had to add sound to a site. Would probably be pretty simple 🤔
"
251,"[4/27/20, 5:29:43 PM] Joe: I think that was it. I just needed a break. The solution in the end wasn’t even very difficult to fix but finding where the problem was in the first place was killing me. Had a eureka moment this morning while watching some coding seminar thing on YouTube haha
"
252,"[4/27/20, 5:33:46 PM] Joe: If official...Lore the web designer 👩‍🎨
"
253,"[4/27/20, 5:38:21 PM] Joe: That’s solid advice. I could really use a checklist or something when I do stuff like this. I usually just start coding without much of a plan beforehand and it gets me into trouble all the time hahaha
"
254,"[4/27/20, 5:48:07 PM] Joe: Muchas gracias!! Buenas noches! Un beso 😘
"
255,"[4/28/20, 11:01:45 AM] Joe: Hola! Hope you had a good day! I’m just about to get mine started haha. 
"
256,"[4/28/20, 11:27:10 AM] Joe: Mmmm that looks good. No I had eggs and toast today haha
"
257,"[4/28/20, 11:29:45 AM] Joe: I’m only used to 3 hour difference between Hawaii and California haha
"
258,"[4/28/20, 12:11:30 PM] Joe: Glad it’s getting more fun. Now you can start making the cool shit haha. 
"
259,"[4/28/20, 12:13:21 PM] Joe: Usually my sister works in town at the Pearl Factory but town is shut down so she is home for now. 
"
260,"[4/28/20, 12:15:00 PM] Joe: It’s just me and my sister here but my cousins and other family are super close by. Within walking distance. 
"
261,"‎[4/28/20, 12:15:51 PM] Joe: ‎video omitted
"
